group,value
Q1,24.0
Q1,25.85513968387372
Q1,26.610603592166882
Q1,26.42975532198623
Q1,25.647608039174163
Q1,24.65974575189155
Q1,23.804088384161375
Q1,23.267160823759212
Q1,23.03941169727708
Q1,22.930704386760905
Q1,22.64087103533086
Q1,21.86539309368449
Q1,20.40669564770875
Q1,18.25971144784495
Q1,15.646786282958356
Q1,12.990039106987005
Q1,10.825625590677308
Q1,9.679787796587068
Q1,9.93711946724267
Q1,11.734378367382096
Q1,14.907613406299792
Q1,19.0076770972576
Q1,23.382516961059686
Q1,27.30816219871737
Q1,30.138191659691067
Q1,31.43674960238828
Q1,31.06406956927526
Q1,29.195009071010865
Q1,26.267399700396997
Q1,22.87399653550586
Q1,19.625224760276883
Q1,17.0164403171637
Q1,15.331467585927848
Q1,14.60431972796167
Q1,14.645811032163216
Q1,15.125137647109149
Q1,15.682677225159939
Q1,16.042743402794564
Q1,16.09570175059718
Q1,15.927480257401383
Q1,15.788820029323253
Q1,16.012885434269425
Q1,16.903861929686986
Q1,18.627271479667534
Q1,21.132803722093506
Q1,24.132433369910608
Q1,27.142491707054237
Q1,29.581774570616783
Q1,30.90294963340661
Q1,30.72529367591714
Q2,37.47423127306032
Q2,33.68275871814609
Q2,29.050062230414053
Q2,25.456318149904117
Q2,24.170653526791597
Q2,25.304011543342963
Q2,27.801026215793833
Q2,29.970815566990847
Q2,30.30956750130094
Q2,28.23420230936587
Q2,24.38737700159926
Q2,20.37087362739887
Q2,18.026900182496586
Q2,18.59485256934862
Q2,22.129362644149133
Q2,27.44721262779274
Q2,32.62991225332464
Q2,35.855467416004366
Q2,36.18290464640186
Q2,33.935006907855715
Q2,30.508422930147795
Q2,27.701797502887615
Q2,26.872246599064965
Q2,28.307939548231204
Q2,31.104419904207628
Q2,33.600520231053856
Q2,34.17246051611362
Q2,32.01977771003718
Q2,27.579672976642655
Q2,22.375910260984035
Q2,18.36702626552559
Q2,17.08800050941388
Q2,18.974709182895666
Q2,23.177843794405565
Q2,27.95023709381106
Q2,31.430502294054783
Q2,32.465867168241374
Q2,31.100319373803266
Q2,28.50823935235658
Q2,26.408014978048364
Q2,26.228299609679574
Q2,28.41260604392749
Q2,32.18412277494578
Q2,35.88123385599665
Q2,37.71201495854881
Q2,36.583027411295305
Q2,32.62242868637168
Q2,27.15603067395361
Q2,22.14416040138215
Q2,19.333084413331783
Q3,15.0
Q3,17.968847511054275
Q3,20.753106463250436
Q3,23.17966512028001
Q3,25.097651817694757
Q3,26.387815432267033
Q3,26.969939839248653
Q3,26.807831362487242
Q3,25.91156912190818
Q3,24.336878362655057
Q3,22.181665729247477
Q3,19.57993190462798
Q3,16.693440096718405
Q3,16.298341614361302
Q3,19.20939873227544
Q3,21.858735824908123
Q3,24.081629943695138
Q3,25.739872298743002
Q3,26.730361411981164
Q3,26.991513467704536
Q3,26.50709129595766
Q3,25.307213921119104
Q3,23.4664839068447
Q3,21.099348929991102
Q3,18.35298597838711
Q3,15.398150598570682
Q3,17.581439857053788
Q3,20.40052888536741
Q3,22.88383918462547
Q3,24.87697054813807
Q3,26.255999721296867
Q3,26.935185349334112
Q3,26.87229895948058
Q3,26.071250522872084
Q3,24.58184535148188
Q3,22.49668744505031
Q3,19.94542182290108
Q3,17.086673824565203
Q3,15.90181344554171
Q3,18.834230323467285
Q3,21.528253330672438
Q3,23.816381164857546
Q3,25.55634911966004
Q3,26.639974415048144
Q3,26.99988247860844
Q3,26.613695970135137
Q3,25.505426096261143
Q3,23.74397970992604
Q3,21.43887501600522
Q3,18.73343225977353
Q4,32.0
Q4,32.33888649576475
Q4,32.78952831511957
Q4,33.339514061390105
Q4,33.97225226780027
Q4,34.66752845687096
Q4,35.4022129765117
Q4,36.151093312283216
Q4,36.887799451256875
Q4,37.58578696726029
Q4,38.219339969618346
Q4,38.76455501297699
Q4,39.200267551019884
Q4,39.508884517867756
Q4,39.67709006358231
Q4,39.696396223099086
Q4,39.5635161775531
Q4,39.280544544852255
Q4,38.8549365480506
Q4,38.29928566560394
Q4,37.630907162902645
Q4,36.87124243346564
Q4,36.045106044795084
Q4,35.179803513863426
Q4,34.3041528889069
Q4,33.447446988231086
Q4,32.63839549382818
Q4,31.904086924556566
Q4,31.26900978700764
Q4,30.754169949661247
Q4,30.376337595221724
Q4,30.14745212142386
Q4,30.07420727727507
Q4,30.15783187799992
Q4,30.394073909969695
Q4,30.773388011721423
Q4,31.281318505218017
Q4,31.89906265842036
Q4,32.60419197883074
Q4,33.37150333632074
Q4,34.1739668256812
Q4,34.983733694156655
Q4,35.77316551436715
Q4,36.5158451590991
Q4,37.187531051971874
Q4,37.76701858662273
Q4,38.23687642729892
Q4,38.58403047096536
Q4,38.800174361668375
Q4,38.88199235759487
